Name,Latitude,Longitude,Altitude,Coordinates,Location_name
hrl00003752,-68.8154,-10.2051,1000000,"
      -68.8154,-10.2051,100
      ",coprates
hrs00003b3c,-55.8248,-14.4447,1000000,"
      -55.8248,-14.4447,100
      ",coprates
hrs00004787,-59.7881,-13.2383,1000000,"
      -59.7881,-13.2383,100
      ",coprates
frt00005f84,-60.3211,-13.578,1000000,"
      -60.3211,-13.578,100
      ",coprates
frt000061f3,-68.9172,-12.1886,1000000,"
      -68.9172,-12.1886,100
      ",coprates
frt00006419,-56.9019,-13.9595,1000000,"
      -56.9019,-13.9595,100
      ",coprates
hrs000064b7,-62.9051,-11.8769,1000000,"
      -62.9051,-11.8769,100
      ",coprates
frt000074f6,-60.079,-12.8074,1000000,"
      -60.079,-12.8074,100
      ",coprates
frt00007ff5,-68.0526,-13.5496,1000000,"
      -68.0526,-13.5496,100
      ",coprates
hrl000086ec,-59.9701,-14.0361,1000000,"
      -59.9701,-14.0361,100
      ",coprates
frt00008fe7,-57.2368,-14.0595,1000000,"
      -57.2368,-14.0595,100
      ",coprates
frt00009226,-54.1558,-14.496,1000000,"
      -54.1558,-14.496,100
      ",coprates
frt000093e3,-56.8675,-14.568,1000000,"
      -56.8675,-14.568,100
      ",coprates
frt00009804,-55.5885,-14.0162,1000000,"
      -55.5885,-14.0162,100
      ",coprates
hrs00009991,-57.5567,-12.5061,1000000,"
      -57.5567,-12.5061,100
      ",coprates
frt00009a9f,-63.6366,-15.9104,1000000,"
      -63.6366,-15.9104,100
      ",coprates
frt00009b24,-53.8095,-14.1211,1000000,"
      -53.8095,-14.1211,100
      ",coprates
frt00009d64,-58.9272,-13.8988,1000000,"
      -58.9272,-13.8988,100
      ",coprates
frt00009db4,-53.411,-14.0816,1000000,"
      -53.411,-14.0816,100
      ",coprates
frt0000a16e,-64.9018,-13.0163,1000000,"
      -64.9018,-13.0163,100
      ",coprates
frt0000a34f,-57.1121,-13.5267,1000000,"
      -57.1121,-13.5267,100
      ",coprates
frt0000a391,-52.6971,-14.1586,1000000,"
      -52.6971,-14.1586,100
      ",coprates
frt0000a488,-65.1452,-11.4824,1000000,"
      -65.1452,-11.4824,100
      ",coprates
frt0000a51a,-54.3311,#NAME?,1000000,"
      -54.3311,-15.8127,100
      ",coprates
hrl0000a8f6,-56.6493,-15.1876,1000000,"
      -56.6493,-15.1876,100
      ",coprates
frt0000abb7,-63.853,-13.8811,1000000,"
      -63.853,-13.8811,100
      ",coprates
hrl0000add5,-66.2702,-10.966,1000000,"
      -66.2702,-10.966,100
      ",coprates
hrl0000b30b,-56.9115,-15.5357,1000000,"
      -56.9115,-15.5357,100
      ",coprates
frt0000b510,-68.4396,-11.5142,1000000,"
      -68.4396,-11.5142,100
      ",coprates
frt0000b64a,-68.79,-10.3578,1000000,"
      -68.79,-10.3578,100
      ",coprates
frt0000b6c5,-58.1879,-15.1488,1000000,"
      -58.1879,-15.1488,100
      ",coprates
frt0000b887,-60.7931,-12.4933,1000000,"
      -60.7931,-12.4933,100
      ",coprates
frt0000b8e2,-55.7415,-13.8979,1000000,"
      -55.7415,-13.8979,100
      ",coprates
hrs0000bdbb,-56.4845,-16.2334,1000000,"
      -56.4845,-16.2334,100
      ",coprates
hrl0000bece,-58.6595,-14.9742,1000000,"
      -58.6595,-14.9742,100
      ",coprates
frt0000c06d,-67.4245,-11.0155,1000000,"
      -67.4245,-11.0155,100
      ",coprates
hrl0000d0de,-54.0624,-15.44,1000000,"
      -54.0624,-15.44,100
      ",coprates
frt00004af7,-35.3102,-35.1528,1000000,"
      -35.3102,-35.1528,100
      ",hale_crater
hrl000063c3,-35.9819,-36.0218,1000000,"
      -35.9819,-36.0218,100
      ",hale_crater
frt00008306,-36.8644,-34.569,1000000,"
      -36.8644,-34.569,100
      ",hale_crater
frt00008695,-35.2373,-35.1902,1000000,"
      -35.2373,-35.1902,100
      ",hale_crater
frt000094f9,-37.6934,-35.7384,1000000,"
      -37.6934,-35.7384,100
      ",hale_crater
frt00009bda,-35.052,-36.0103,1000000,"
      -35.052,-36.0103,100
      ",hale_crater
hrl0000a2c6,-37.6964,-35.7207,1000000,"
      -37.6964,-35.7207,100
      ",hale_crater
frt000043c6,-76.3671,-9.7048,1000000,"
      -76.3671,-9.7048,100
      ",marineris
frt00005d59,-69.1628,-11.8344,1000000,"
      -69.1628,-11.8344,100
      ",marineris
frt000061bd,-73.7356,-10.2968,1000000,"
      -73.7356,-10.2968,100
      ",marineris
frt00006347,-76.54,-9.7474,1000000,"
      -76.54,-9.7474,100
      ",marineris
frt00006622,-65.517,-8.5974,1000000,"
      -65.517,-8.5974,100
      ",marineris
frt0000827d,-77.0733,-9.6798,1000000,"
      -77.0733,-9.6798,100
      ",marineris
frt00008950,-79.1874,-8.7586,1000000,"
      -79.1874,-8.7586,100
      ",marineris
frt00008a02,-69.3252,-10.1767,1000000,"
      -69.3252,-10.1767,100
      ",marineris
frt00008d67,-66.0397,-7.963,1000000,"
      -66.0397,-7.963,100
      ",marineris
frt00008e66,-78.0336,-9.2188,1000000,"
      -78.0336,-9.2188,100
      ",marineris
frt0000911b,-70.0571,-9.0027,1000000,"
      -70.0571,-9.0027,100
      ",marineris
frt00009445,-79.222,-8.6663,1000000,"
      -79.222,-8.6663,100
      ",marineris
